theta_2,theta_1,omega_n,A
1.4371949131738726,2.1474747474747473,6.283185307179586,
1.4341013461345264,2.1333333333333337,6.283185307179586,
1.4309824029798204,2.1191919191919193,6.283185307179586,
1.4303030303030304,2.1161457412206426,6.283185307179586,
1.4278601873613235,2.105050505050505,6.283185307179586,
1.4247182012127937,2.090909090909091,6.283185307179586,
1.4215500389399982,2.076767676767677,6.283185307179586,
1.418355489495967,2.0626262626262624,6.283185307179586,
1.4161616161616162,2.0530069661980823,6.283185307179586,
1.415143583317151,2.0484848484848484,6.283185307179586,
1.4119245457382457,2.034343434343435,6.283185307179586,
1.4086782768683812,2.0202020202020203,6.283185307179586,
1.4054045614548223,2.006060606060606,6.283185307179586,
1.402103188861734,1.9919191919191925,6.283185307179586,
1.4020202020202022,1.9915681480131,6.283185307179586,
1.3988026767217612,1.9777777777777779,6.283185307179586,
1.3954745684216596,1.9636363636363634,6.283185307179586,
1.3921179052922898,1.9494949494949494,6.283185307179586,
1.3887324751284904,1.9353535353535354,6.283185307179586,
1.3878787878787877,1.9318296423239725,6.283185307179586,
1.3853405044401137,1.9212121212121211,6.283185307179586,
1.3819265895269992,1.907070707070707,6.283185307179586,
1.3784829627957162,1.8929292929292931,6.283185307179586,
1.3750094127316386,1.8787878787878787,6.283185307179586,
1.3737373737373737,1.8736690901176525,6.283185307179586,
1.3715250526584657,1.8646464646464647,6.283185307179586,
1.3680211173662427,1.8505050505050507,6.283185307179586,
1.3644862659310353,1.836363636363636,6.283185307179586,
1.360920290602078,1.8222222222222224,6.283185307179586,
1.3595959595959597,1.817032441419546,6.283185307179586,
1.3573423886171605,1.808080808080808,6.283185307179586,
1.3537439617493197,1.793939393939394,6.283185307179586,
1.35011337008871,1.77979797979798,6.283185307179586,
1.3464504138035933,1.7656565656565655,6.283185307179586,
1.3454545454545455,1.7618603407018767,6.283185307179586,
1.3427775510445679,1.7515151515151515,6.283185307179586,
1.3390798955996264,1.7373737373737372,6.283185307179586,
1.3353487877166321,1.723232323232323,6.283185307179586,
1.3315840410842936,1.709090909090909,6.283185307179586,
1.3313131313131314,1.7080875646681404,6.283185307179586,
1.3278144782529333,1.6949494949494948,6.283185307179586,
1.3240125871080892,1.680808080808081,6.283185307179586,
1.3201759254753542,1.6666666666666667,6.283185307179586,
1.317171717171717,1.6557077760804209,6.283185307179586,
1.316311394463797,1.6525252525252525,6.283185307179586,
1.312435939633596,1.6383838383838385,6.283185307179586,
1.308524537599646,1.624242424242424,6.283185307179586,
1.3045770298023924,1.6101010101010098,6.283185307179586,
1.303030303030303,1.6046312318717466,6.283185307179586,
1.3006126020243256,1.595959595959596,6.283185307179586,
1.2966234757706416,1.5818181818181818,6.283185307179586,
1.2925970313985888,1.5676767676767678,6.283185307179586,
1.288888888888889,1.5547805671163535,6.283185307179586,
1.2885359305271369,1.5535353535353533,6.283185307179586,
1.2844659288459108,1.5393939393939393,6.283185307179586,
1.2803573552784027,1.5252525252525255,6.283185307179586,
1.2762101073798482,1.511111111111111,6.283185307179586,
1.2747474747474747,1.506192143835613,6.283185307179586,
1.2720446444325284,1.496969696969697,6.283185307179586,
1.2678505746041249,1.4828282828282826,6.283185307179586,
1.263616560875727,1.4686868686868686,6.283185307179586,
1.2606060606060605,1.4587473685016006,6.283185307179586,
1.2593518950537177,1.4545454545454546,6.283185307179586,
1.255068780123683,1.4404040404040404,6.283185307179586,
1.250744422460842,1.4262626262626261,6.283185307179586,
1.2464646464646467,1.4124012976355091,6.283185307179586,
1.2463794424582124,1.412121212121212,6.283185307179586,
1.2420035455989653,1.3979797979797979,6.283185307179586,
1.237585084610549,1.3838383838383839,6.283185307179586,
1.233124110000977,1.3696969696969696,6.283185307179586,
1.2323232323232325,1.3671990148724382,6.283185307179586,
1.2286458924165453,1.3555555555555554,6.283185307179586,
1.2241293858262101,1.3414141414141414,6.283185307179586,
1.2195690929391008,1.3272727272727272,6.283185307179586,
1.218181818181818,1.3230373086213254,6.283185307179586,
1.2149862542799243,1.3131313131313131,6.283185307179586,
1.2103675790304176,1.2989898989898987,6.283185307179586,
1.2057038617377718,1.2848484848484847,6.283185307179586,
1.204040404040404,1.279882037545755,6.283185307179586,
1.201014443386121,1.2707070707070707,6.283185307179586,
1.1962893031317599,1.2565656565656562,6.283185307179586,
1.1915179048864457,1.2424242424242422,6.283185307179586,
1.18989898989899,1.2377023906060103,6.283185307179586,
1.1867196202308756,1.2282828282828284,6.283185307179586,
1.181883560592716,1.214141414141414,6.283185307179586,
1.1770000978882669,1.2,6.283185307179586,
1.2442371188020036,2.5999999999999996,7.5398223686155035,
1.2427645963106562,2.585858585858586,7.5398223686155035,
1.241280208314803,2.571717171717172,7.5398223686155035,
1.2397838216625507,2.557575757575758,7.5398223686155035,
1.2382753015297099,2.5434343434343436,7.5398223686155035,
1.2367545114069556,2.529292929292929,7.5398223686155035,
1.2352213130876837,2.515151515151515,7.5398223686155035,
1.2336755666566224,2.5010101010101016,7.5398223686155035,
1.2323232323232325,2.4887422926422333,7.5398223686155035,
1.2321198555982211,2.4868686868686867,7.5398223686155035,
1.2305693080748175,2.4727272727272727,7.5398223686155035,
1.2290058562949846,2.458585858585859,7.5398223686155035,
1.2274293517956851,2.4444444444444446,7.5398223686155035,
1.225839644252393,2.43030303030303,7.5398223686155035,
1.224236581468488,2.416161616161616,7.5398223686155035,
1.2226200093658086,2.4020202020202026,7.5398223686155035,
1.220989771976458,2.3878787878787877,7.5398223686155035,
1.2193457114359934,2.3737373737373737,7.5398223686155035,
1.218181818181818,2.3638174042399345,7.5398223686155035,
1.2176941723837553,2.35959595959596,7.5398223686155035,
1.216043920294082,2.3454545454545452,7.5398223686155035,
1.2143794297495563,2.3313131313131312,7.5398223686155035,
1.2127005328728098,2.3171717171717177,7.5398223686155035,
1.211007059725144,2.303030303030303,7.5398223686155035,
1.2092988383028358,2.2888888888888888,7.5398223686155035,
1.2075756945355158,2.2747474747474747,7.5398223686155035,
1.2058374522868096,2.2606060606060607,7.5398223686155035,
1.2040839333574531,2.2464646464646463,7.5398223686155035,
1.204040404040404,2.246117535757018,7.5398223686155035,
1.2023375115377832,2.2323232323232323,7.5398223686155035,
1.2005760848001448,2.2181818181818183,7.5398223686155035,
1.1987988947923736,2.204040404040404,7.5398223686155035,
1.197005751611539,2.18989898989899,7.5398223686155035,
1.195196463126705,2.1757575757575767,7.5398223686155035,
1.1933708349897063,2.1616161616161618,7.5398223686155035,
1.191528670649652,2.1474747474747473,7.5398223686155035,
1.18989898989899,2.135081337538394,7.5398223686155035,
1.1896727578881647,2.1333333333333337,7.5398223686155035,
1.1878212700934692,2.1191919191919193,7.5398223686155035,
1.1859526957624245,2.105050505050505,7.5398223686155035,
1.1840668251022215,2.090909090909091,7.5398223686155035,
1.1821634459592736,2.076767676767677,7.5398223686155035,
1.1802423438468763,2.0626262626262624,7.5398223686155035,
1.1783033019785147,2.0484848484848484,7.5398223686155035,
